RowNumber,CustomerId,Surname,Gender,Age,Balance,EstimatedSalary,ProductName,ProductType,DownLimit
456,15733797,Sal,Male,36,0,164253.35,Hua Xia Accidental Insurance A,Accidental Insurance,36000
456,15733797,Sal,Male,36,0,164253.35,Gong Shang Stock Fund A,Stock Fund,59000
1233,15607537,Crawford,Male,46,107850.82,139431,Ping An Currency Fund A,Currency Fund,12000
1233,15607537,Crawford,Male,46,107850.82,139431,Zhong Xin Medical Insurance B,Medical Insurance,39000
1233,15607537,Crawford,Male,46,107850.82,139431,Nong Ye Stock Fund B,Stock Fund,64000
1233,15607537,Crawford,Male,46,107850.82,139431,Zhong Xin Debenture C,Debenture,89000
8956,15641319,Afanasyeva,Male,50,0,107112.25,Ping An Currency Fund A,Currency Fund,12000
7124,15682686,Chukwuemeka,Female,38,0,167984.72,Zhao Shang Currency Fund C,Currency Fund,20000
7124,15682686,Chukwuemeka,Female,38,0,167984.72,Hua Xia Accidental Insurance A,Accidental Insurance,36000
7124,15682686,Chukwuemeka,Female,38,0,167984.72,Gong Shang Stock Fund A,Stock Fund,59000
7124,15682686,Chukwuemeka,Female,38,0,167984.72,Xing Ye Debenture A,Debenture,80000
6326,15615797,Hyde,Male,59,108585.35,192127.22,Guang Da Currency Fund B,Currency Fund,16500
6326,15615797,Hyde,Male,59,108585.35,192127.22,Nong Ye Accidental Insurance C,Accidental Insurance,42000
6326,15615797,Hyde,Male,59,108585.35,192127.22,Nong Ye Stock Fund B,Stock Fund,64000
6326,15615797,Hyde,Male,59,108585.35,192127.22,Zhong Xin Debenture C,Debenture,89000
3647,15610900,Thompson,Female,70,110738.89,22666.77,Ping An Currency Fund A,Currency Fund,12000
9852,15792077,Degtyaryov,Male,28,119859.52,125422.66,Zhao Shang Currency Fund C,Currency Fund,20000
9852,15792077,Degtyaryov,Male,28,119859.52,125422.66,Zhong Xin Medical Insurance B,Medical Insurance,39000
9852,15792077,Degtyaryov,Male,28,119859.52,125422.66,Nong Ye Stock Fund B,Stock Fund,64000
9852,15792077,Degtyaryov,Male,28,119859.52,125422.66,Chong Qing Debenture B,Debenture,84000
8003,15753895,Blue,Male,37,0,133535.99,Ping An Currency Fund A,Currency Fund,12000
1757,15670702,Smith,Male,37,168178.21,101273.23,Zhao Shang Currency Fund C,Currency Fund,20000
1757,15670702,Smith,Male,37,168178.21,101273.23,Jian She Accidental Insurance B,Accidental Insurance,39000
1757,15670702,Smith,Male,37,168178.21,101273.23,Gong Shang Stock Fund A,Stock Fund,59000
1757,15670702,Smith,Male,37,168178.21,101273.23,Chong Qing Debenture B,Debenture,84000
3697,15633586,Brierly,Female,39,120962.13,23305.01,Ping An Currency Fund A,Currency Fund,12000
4981,15740406,Padovesi,Male,38,113525.84,46044.48,Ping An Currency Fund A,Currency Fund,12000
8970,15622461,Ndubuagha,Female,51,122822,32626.21,Ping An Currency Fund A,Currency Fund,12000
9936,15603454,Sanders,Male,28,160454.15,114957.22,Zhao Shang Currency Fund C,Currency Fund,20000
9936,15603454,Sanders,Male,28,160454.15,114957.22,Zhong Xin Medical Insurance B,Medical Insurance,39000
9936,15603454,Sanders,Male,28,160454.15,114957.22,Nong Ye Stock Fund B,Stock Fund,64000
9936,15603454,Sanders,Male,28,160454.15,114957.22,Zhong Xin Debenture C,Debenture,89000
6025,15568834,Howells,Male,27,125427.37,27654.44,Ping An Currency Fund A,Currency Fund,12000
5633,15591091,Goering,Male,44,73348.56,157166.79,Zhao Shang Currency Fund C,Currency Fund,20000
5633,15591091,Goering,Male,44,73348.56,157166.79,Hua Xia Accidental Insurance A,Accidental Insurance,36000
5633,15591091,Goering,Male,44,73348.56,157166.79,Nong Ye Stock Fund B,Stock Fund,64000
5633,15591091,Goering,Male,44,73348.56,157166.79,Chong Qing Debenture B,Debenture,84000
1884,15670602,Burgess,Male,24,107418.27,160450.21,Ping An Currency Fund A,Currency Fund,12000
1884,15670602,Burgess,Male,24,107418.27,160450.21,Hua Xia Accidental Insurance A,Accidental Insurance,36000
1884,15670602,Burgess,Male,24,107418.27,160450.21,Nong Ye Stock Fund B,Stock Fund,64000
1884,15670602,Burgess,Male,24,107418.27,160450.21,Zhong Xin Debenture C,Debenture,89000
9914,15590177,Chiedozie,Female,44,133866.22,139049.24,Ping An Currency Fund A,Currency Fund,12000
9914,15590177,Chiedozie,Female,44,133866.22,139049.24,Jian She Accidental Insurance B,Accidental Insurance,39000
9914,15590177,Chiedozie,Female,44,133866.22,139049.24,Nong Ye Stock Fund B,Stock Fund,64000
9914,15590177,Chiedozie,Female,44,133866.22,139049.24,Chong Qing Debenture B,Debenture,84000
5135,15641604,Frolova,Female,55,98488.08,155879.57,Guang Da Currency Fund B,Currency Fund,16500
5135,15641604,Frolova,Female,55,98488.08,155879.57,Ping An Medical Insurance C,Medical Insurance,44000
5135,15641604,Frolova,Female,55,98488.08,155879.57,Guang Da Stock Fund C,Stock Fund,70000
5135,15641604,Frolova,Female,55,98488.08,155879.57,Zhong Xin Debenture C,Debenture,89000
9558,15757310,Otitodilichukwu,Male,67,148363.38,186995.17,Ping An Currency Fund A,Currency Fund,12000
9558,15757310,Otitodilichukwu,Male,67,148363.38,186995.17,Jian She Accidental Insurance B,Accidental Insurance,39000
9558,15757310,Otitodilichukwu,Male,67,148363.38,186995.17,Guang Da Stock Fund C,Stock Fund,70000
9558,15757310,Otitodilichukwu,Male,67,148363.38,186995.17,Zhong Xin Debenture C,Debenture,89000
6086,15596992,Norris,Male,45,156353.46,72643.95,Guang Da Currency Fund B,Currency Fund,16500
6086,15596992,Norris,Male,45,156353.46,72643.95,Ping An Medical Insurance C,Medical Insurance,44000
6086,15596992,Norris,Male,45,156353.46,72643.95,Guang Da Stock Fund C,Stock Fund,70000
6086,15596992,Norris,Male,45,156353.46,72643.95,Chong Qing Debenture B,Debenture,84000
6610,15766047,Sukhorukova,Female,41,91621.69,71139.31,Guang Da Currency Fund B,Currency Fund,16500
6610,15766047,Sukhorukova,Female,41,91621.69,71139.31,Gong Shang Medical Insurance A,Medical Insurance,35000
1362,15754068,Judd,Male,32,0,141822.8,Guang Da Currency Fund B,Currency Fund,16500
4793,15809991,Ferrari,Male,19,130274.22,133535.29,Guang Da Currency Fund B,Currency Fund,16500
4793,15809991,Ferrari,Male,19,130274.22,133535.29,Ping An Medical Insurance C,Medical Insurance,44000
4793,15809991,Ferrari,Male,19,130274.22,133535.29,Guang Da Stock Fund C,Stock Fund,70000
4793,15809991,Ferrari,Male,19,130274.22,133535.29,Zhong Xin Debenture C,Debenture,89000
6432,15683363,Goddard,Male,39,0,108419.41,Ping An Currency Fund A,Currency Fund,12000
8861,15725762,Kemp,Male,24,122168.65,174107.04,Guang Da Currency Fund B,Currency Fund,16500
8861,15725762,Kemp,Male,24,122168.65,174107.04,Gong Shang Medical Insurance A,Medical Insurance,35000
8861,15725762,Kemp,Male,24,122168.65,174107.04,Gong Shang Stock Fund A,Stock Fund,59000
8861,15725762,Kemp,Male,24,122168.65,174107.04,Zhong Xin Debenture C,Debenture,89000
8145,15775108,Lo Duca,Male,34,99325.04,186052.15,Zhao Shang Currency Fund C,Currency Fund,20000
8145,15775108,Lo Duca,Male,34,99325.04,186052.15,Gong Shang Medical Insurance A,Medical Insurance,35000
8145,15775108,Lo Duca,Male,34,99325.04,186052.15,Nong Ye Stock Fund B,Stock Fund,64000
8145,15775108,Lo Duca,Male,34,99325.04,186052.15,Chong Qing Debenture B,Debenture,84000
5063,15650432,Liu,Male,41,84622.13,198072.16,Ping An Currency Fund A,Currency Fund,12000
5063,15650432,Liu,Male,41,84622.13,198072.16,Gong Shang Medical Insurance A,Medical Insurance,35000
5063,15650432,Liu,Male,41,84622.13,198072.16,Nong Ye Stock Fund B,Stock Fund,64000
5063,15650432,Liu,Male,41,84622.13,198072.16,Chong Qing Debenture B,Debenture,84000
3570,15761670,Morley,Female,50,0,126381.6,Ping An Currency Fund A,Currency Fund,12000
1444,15598751,Ingram,Female,43,0,125154.57,Ping An Currency Fund A,Currency Fund,12000
7932,15751227,Ebelegbulam,Male,47,95120.59,127875.1,Zhao Shang Currency Fund C,Currency Fund,20000
7932,15751227,Ebelegbulam,Male,47,95120.59,127875.1,Ping An Medical Insurance C,Medical Insurance,44000
7932,15751227,Ebelegbulam,Male,47,95120.59,127875.1,Nong Ye Stock Fund B,Stock Fund,64000
7932,15751227,Ebelegbulam,Male,47,95120.59,127875.1,Xing Ye Debenture A,Debenture,80000
6976,15644856,Bird,Male,38,115463.16,150679.65,Zhao Shang Currency Fund C,Currency Fund,20000
6976,15644856,Bird,Male,38,115463.16,150679.65,Jian She Accidental Insurance B,Accidental Insurance,39000
6976,15644856,Bird,Male,38,115463.16,150679.65,Guang Da Stock Fund C,Stock Fund,70000
6976,15644856,Bird,Male,38,115463.16,150679.65,Zhong Xin Debenture C,Debenture,89000
8959,15710726,Hughes,Male,52,0,178229.04,Ping An Currency Fund A,Currency Fund,12000
8959,15710726,Hughes,Male,52,0,178229.04,Jian She Accidental Insurance B,Accidental Insurance,39000
8959,15710726,Hughes,Male,52,0,178229.04,Nong Ye Stock Fund B,Stock Fund,64000
8959,15710726,Hughes,Male,52,0,178229.04,Xing Ye Debenture A,Debenture,80000
7966,15645404,Okwukwe,Female,51,124620.01,92243.94,Zhao Shang Currency Fund C,Currency Fund,20000
7966,15645404,Okwukwe,Female,51,124620.01,92243.94,Nong Ye Accidental Insurance C,Accidental Insurance,42000
7966,15645404,Okwukwe,Female,51,124620.01,92243.94,Guang Da Stock Fund C,Stock Fund,70000
7966,15645404,Okwukwe,Female,51,124620.01,92243.94,Chong Qing Debenture B,Debenture,84000
8539,15648030,Crump,Female,33,137388.01,165000.68,Zhao Shang Currency Fund C,Currency Fund,20000
8539,15648030,Crump,Female,33,137388.01,165000.68,Zhong Xin Medical Insurance B,Medical Insurance,39000
8539,15648030,Crump,Female,33,137388.01,165000.68,Nong Ye Stock Fund B,Stock Fund,64000
8539,15648030,Crump,Female,33,137388.01,165000.68,Chong Qing Debenture B,Debenture,84000
749,15813034,Martin,Male,38,62276.99,59280.79,Ping An Currency Fund A,Currency Fund,12000
1929,15716609,L?,Male,54,134388.11,49954.79,Ping An Currency Fund A,Currency Fund,12000
1929,15716609,L?,Male,54,134388.11,49954.79,Gong Shang Medical Insurance A,Medical Insurance,35000
972,15801488,Buckner,Male,25,0,134509.47,Ping An Currency Fund A,Currency Fund,12000
8933,15700394,Palermo,Female,26,122857.46,144682.17,Ping An Currency Fund A,Currency Fund,12000
8933,15700394,Palermo,Female,26,122857.46,144682.17,Gong Shang Medical Insurance A,Medical Insurance,35000
8933,15700394,Palermo,Female,26,122857.46,144682.17,Guang Da Stock Fund C,Stock Fund,70000
8933,15700394,Palermo,Female,26,122857.46,144682.17,Xing Ye Debenture A,Debenture,80000
1678,15801767,Yin,Female,40,0,108891.3,Ping An Currency Fund A,Currency Fund,12000
7861,15716501,Moon,Male,32,95377.13,187551.24,Zhao Shang Currency Fund C,Currency Fund,20000
7861,15716501,Moon,Male,32,95377.13,187551.24,Zhong Xin Medical Insurance B,Medical Insurance,39000
7861,15716501,Moon,Male,32,95377.13,187551.24,Gong Shang Stock Fund A,Stock Fund,59000
7861,15716501,Moon,Male,32,95377.13,187551.24,Xing Ye Debenture A,Debenture,80000
5075,15672397,Smith,Male,38,125487.89,158111.71,Zhao Shang Currency Fund C,Currency Fund,20000
5075,15672397,Smith,Male,38,125487.89,158111.71,Zhong Xin Medical Insurance B,Medical Insurance,39000
5075,15672397,Smith,Male,38,125487.89,158111.71,Gong Shang Stock Fund A,Stock Fund,59000
5075,15672397,Smith,Male,38,125487.89,158111.71,Zhong Xin Debenture C,Debenture,89000
7800,15619016,McMinn,Male,46,109019.65,33680.56,Ping An Currency Fund A,Currency Fund,12000
6702,15629390,Liao,Male,37,135847.47,144880.81,Guang Da Currency Fund B,Currency Fund,16500
6702,15629390,Liao,Male,37,135847.47,144880.81,Hua Xia Accidental Insurance A,Accidental Insurance,36000
6702,15629390,Liao,Male,37,135847.47,144880.81,Nong Ye Stock Fund B,Stock Fund,64000
6702,15629390,Liao,Male,37,135847.47,144880.81,Zhong Xin Debenture C,Debenture,89000
7876,15775104,Gomes,Female,38,182065.85,49503.5,Ping An Currency Fund A,Currency Fund,12000
7876,15775104,Gomes,Female,38,182065.85,49503.5,Gong Shang Medical Insurance A,Medical Insurance,35000
7876,15775104,Gomes,Female,38,182065.85,49503.5,Gong Shang Stock Fund A,Stock Fund,59000
7876,15775104,Gomes,Female,38,182065.85,49503.5,Zhong Xin Debenture C,Debenture,89000
9950,15798615,Wan,Female,47,137301.87,44351.77,Ping An Currency Fund A,Currency Fund,12000
9950,15798615,Wan,Female,47,137301.87,44351.77,Gong Shang Medical Insurance A,Medical Insurance,35000
8339,15792453,More,Female,42,138912.17,139494.75,Guang Da Currency Fund B,Currency Fund,16500
8339,15792453,More,Female,42,138912.17,139494.75,Hua Xia Accidental Insurance A,Accidental Insurance,36000
8339,15792453,More,Female,42,138912.17,139494.75,Nong Ye Stock Fund B,Stock Fund,64000
8339,15792453,More,Female,42,138912.17,139494.75,Xing Ye Debenture A,Debenture,80000
5468,15581237,Biryukova,Male,33,160777.9,149536.15,Guang Da Currency Fund B,Currency Fund,16500
5468,15581237,Biryukova,Male,33,160777.9,149536.15,Zhong Xin Medical Insurance B,Medical Insurance,39000
5468,15581237,Biryukova,Male,33,160777.9,149536.15,Gong Shang Stock Fund A,Stock Fund,59000
5468,15581237,Biryukova,Male,33,160777.9,149536.15,Zhong Xin Debenture C,Debenture,89000
297,15774510,Tien,Female,31,125169.26,106636.89,Guang Da Currency Fund B,Currency Fund,16500
297,15774510,Tien,Female,31,125169.26,106636.89,Ping An Medical Insurance C,Medical Insurance,44000
297,15774510,Tien,Female,31,125169.26,106636.89,Guang Da Stock Fund C,Stock Fund,70000
297,15774510,Tien,Female,31,125169.26,106636.89,Xing Ye Debenture A,Debenture,80000
1361,15694409,Tsao,Female,22,97975.82,62083,Guang Da Currency Fund B,Currency Fund,16500
6841,15685826,Hsiung,Male,30,90727.79,122268.75,Guang Da Currency Fund B,Currency Fund,16500
6841,15685826,Hsiung,Male,30,90727.79,122268.75,Nong Ye Accidental Insurance C,Accidental Insurance,42000
6841,15685826,Hsiung,Male,30,90727.79,122268.75,Gong Shang Stock Fund A,Stock Fund,59000
6841,15685826,Hsiung,Male,30,90727.79,122268.75,Xing Ye Debenture A,Debenture,80000
6408,15657829,Fanucci,Male,30,168078.83,85028.36,Guang Da Currency Fund B,Currency Fund,16500
6408,15657829,Fanucci,Male,30,168078.83,85028.36,Ping An Medical Insurance C,Medical Insurance,44000
6408,15657829,Fanucci,Male,30,168078.83,85028.36,Guang Da Stock Fund C,Stock Fund,70000
6408,15657829,Fanucci,Male,30,168078.83,85028.36,Xing Ye Debenture A,Debenture,80000
1426,15583668,Ludowici,Female,42,109471.79,175161.05,Ping An Currency Fund A,Currency Fund,12000
1426,15583668,Ludowici,Female,42,109471.79,175161.05,Hua Xia Accidental Insurance A,Accidental Insurance,36000
1426,15583668,Ludowici,Female,42,109471.79,175161.05,Gong Shang Stock Fund A,Stock Fund,59000
1426,15583668,Ludowici,Female,42,109471.79,175161.05,Zhong Xin Debenture C,Debenture,89000
3705,15753213,Lees,Female,34,0,193021.49,Ping An Currency Fund A,Currency Fund,12000
3705,15753213,Lees,Female,34,0,193021.49,Hua Xia Accidental Insurance A,Accidental Insurance,36000
3705,15753213,Lees,Female,34,0,193021.49,Gong Shang Stock Fund A,Stock Fund,59000
3705,15753213,Lees,Female,34,0,193021.49,Xing Ye Debenture A,Debenture,80000
5059,15682322,Aksenov,Male,37,148466.93,151280.96,Zhao Shang Currency Fund C,Currency Fund,20000
5059,15682322,Aksenov,Male,37,148466.93,151280.96,Nong Ye Accidental Insurance C,Accidental Insurance,42000
5059,15682322,Aksenov,Male,37,148466.93,151280.96,Gong Shang Stock Fund A,Stock Fund,59000
5059,15682322,Aksenov,Male,37,148466.93,151280.96,Xing Ye Debenture A,Debenture,80000
4892,15676958,Zito,Male,34,86055.17,104220.5,Zhao Shang Currency Fund C,Currency Fund,20000
4892,15676958,Zito,Male,34,86055.17,104220.5,Nong Ye Accidental Insurance C,Accidental Insurance,42000
4892,15676958,Zito,Male,34,86055.17,104220.5,Gong Shang Stock Fund A,Stock Fund,59000
4892,15676958,Zito,Male,34,86055.17,104220.5,Chong Qing Debenture B,Debenture,84000
731,15812750,Ozioma,Male,24,147360,25310.82,Guang Da Currency Fund B,Currency Fund,16500
731,15812750,Ozioma,Male,24,147360,25310.82,Gong Shang Medical Insurance A,Medical Insurance,35000
4051,15585734,Gouger,Male,41,137742.9,166957.82,Ping An Currency Fund A,Currency Fund,12000
4051,15585734,Gouger,Male,41,137742.9,166957.82,Jian She Accidental Insurance B,Accidental Insurance,39000
4051,15585734,Gouger,Male,41,137742.9,166957.82,Nong Ye Stock Fund B,Stock Fund,64000
4051,15585734,Gouger,Male,41,137742.9,166957.82,Chong Qing Debenture B,Debenture,84000
5039,15589230,Wu,Female,63,126473.33,147545.65,Ping An Currency Fund A,Currency Fund,12000
5039,15589230,Wu,Female,63,126473.33,147545.65,Hua Xia Accidental Insurance A,Accidental Insurance,36000
5039,15589230,Wu,Female,63,126473.33,147545.65,Gong Shang Stock Fund A,Stock Fund,59000
5039,15589230,Wu,Female,63,126473.33,147545.65,Zhong Xin Debenture C,Debenture,89000
4034,15569079,Hagins,Male,48,126066.26,64345.61,Ping An Currency Fund A,Currency Fund,12000
4034,15569079,Hagins,Male,48,126066.26,64345.61,Gong Shang Medical Insurance A,Medical Insurance,35000
4034,15569079,Hagins,Male,48,126066.26,64345.61,Gong Shang Stock Fund A,Stock Fund,59000
4034,15569079,Hagins,Male,48,126066.26,64345.61,Xing Ye Debenture A,Debenture,80000
7670,15672357,Sochima,Male,38,0,181605.85,Zhao Shang Currency Fund C,Currency Fund,20000
7670,15672357,Sochima,Male,38,0,181605.85,Zhong Xin Medical Insurance B,Medical Insurance,39000
7670,15672357,Sochima,Male,38,0,181605.85,Gong Shang Stock Fund A,Stock Fund,59000
7670,15672357,Sochima,Male,38,0,181605.85,Chong Qing Debenture B,Debenture,84000
682,15613880,Higinbotham,Male,58,128468.69,137254.55,Ping An Currency Fund A,Currency Fund,12000
682,15613880,Higinbotham,Male,58,128468.69,137254.55,Ping An Medical Insurance C,Medical Insurance,44000
682,15613880,Higinbotham,Male,58,128468.69,137254.55,Gong Shang Stock Fund A,Stock Fund,59000
682,15613880,Higinbotham,Male,58,128468.69,137254.55,Xing Ye Debenture A,Debenture,80000
4864,15640491,Raff,Female,33,147493.7,100447.53,Guang Da Currency Fund B,Currency Fund,16500
4864,15640491,Raff,Female,33,147493.7,100447.53,Ping An Medical Insurance C,Medical Insurance,44000
4864,15640491,Raff,Female,33,147493.7,100447.53,Nong Ye Stock Fund B,Stock Fund,64000
4864,15640491,Raff,Female,33,147493.7,100447.53,Chong Qing Debenture B,Debenture,84000
8804,15741181,Ndubuagha,Male,41,135071.12,64477.25,Guang Da Currency Fund B,Currency Fund,16500
8804,15741181,Ndubuagha,Male,41,135071.12,64477.25,Gong Shang Medical Insurance A,Medical Insurance,35000
8804,15741181,Ndubuagha,Male,41,135071.12,64477.25,Gong Shang Stock Fund A,Stock Fund,59000
8804,15741181,Ndubuagha,Male,41,135071.12,64477.25,Chong Qing Debenture B,Debenture,84000
5947,15683118,Rechner,Male,32,0,138889.15,Ping An Currency Fund A,Currency Fund,12000
5259,15627002,Taylor,Male,38,115934.74,139059.05,Guang Da Currency Fund B,Currency Fund,16500
5259,15627002,Taylor,Male,38,115934.74,139059.05,Gong Shang Medical Insurance A,Medical Insurance,35000
5259,15627002,Taylor,Male,38,115934.74,139059.05,Nong Ye Stock Fund B,Stock Fund,64000
5259,15627002,Taylor,Male,38,115934.74,139059.05,Xing Ye Debenture A,Debenture,80000
6077,15721019,Jones,Female,24,110495.27,158615.41,Guang Da Currency Fund B,Currency Fund,16500
6077,15721019,Jones,Female,24,110495.27,158615.41,Nong Ye Accidental Insurance C,Accidental Insurance,42000
6077,15721019,Jones,Female,24,110495.27,158615.41,Gong Shang Stock Fund A,Stock Fund,59000
6077,15721019,Jones,Female,24,110495.27,158615.41,Xing Ye Debenture A,Debenture,80000
9679,15718064,Chia,Male,29,0,117173.8,Ping An Currency Fund A,Currency Fund,12000
5865,15803840,Forbes,Female,32,0,150803.44,Ping An Currency Fund A,Currency Fund,12000
5865,15803840,Forbes,Female,32,0,150803.44,Hua Xia Accidental Insurance A,Accidental Insurance,36000
6590,15673790,Taylor,Male,45,109200.74,165990.44,Guang Da Currency Fund B,Currency Fund,16500
6590,15673790,Taylor,Male,45,109200.74,165990.44,Ping An Medical Insurance C,Medical Insurance,44000
6590,15673790,Taylor,Male,45,109200.74,165990.44,Nong Ye Stock Fund B,Stock Fund,64000
6590,15673790,Taylor,Male,45,109200.74,165990.44,Zhong Xin Debenture C,Debenture,89000
3420,15684103,Mellor,Female,26,0,138423.1,Ping An Currency Fund A,Currency Fund,12000
9258,15688689,Esposito,Female,37,149000.91,21472.42,Guang Da Currency Fund B,Currency Fund,16500
9111,15727391,Collier,Male,29,144553.5,143454.95,Guang Da Currency Fund B,Currency Fund,16500
9111,15727391,Collier,Male,29,144553.5,143454.95,Gong Shang Medical Insurance A,Medical Insurance,35000
9111,15727391,Collier,Male,29,144553.5,143454.95,Gong Shang Stock Fund A,Stock Fund,59000
9111,15727391,Collier,Male,29,144553.5,143454.95,Xing Ye Debenture A,Debenture,80000
6047,15606435,Wall,Male,69,187013.13,105898.69,Ping An Currency Fund A,Currency Fund,12000
6047,15606435,Wall,Male,69,187013.13,105898.69,Gong Shang Medical Insurance A,Medical Insurance,35000
6047,15606435,Wall,Male,69,187013.13,105898.69,Gong Shang Stock Fund A,Stock Fund,59000
6047,15606435,Wall,Male,69,187013.13,105898.69,Zhong Xin Debenture C,Debenture,89000
302,15682541,Hartley,Female,36,132311.71,15462.84,Ping An Currency Fund A,Currency Fund,12000
1870,15597909,Johnstone,Male,33,128135.99,158437.73,Guang Da Currency Fund B,Currency Fund,16500
1870,15597909,Johnstone,Male,33,128135.99,158437.73,Zhong Xin Medical Insurance B,Medical Insurance,39000
1870,15597909,Johnstone,Male,33,128135.99,158437.73,Nong Ye Stock Fund B,Stock Fund,64000
1870,15597909,Johnstone,Male,33,128135.99,158437.73,Chong Qing Debenture B,Debenture,84000
5443,15660417,Lambert,Female,43,120481.69,94875.03,Ping An Currency Fund A,Currency Fund,12000
5443,15660417,Lambert,Female,43,120481.69,94875.03,Jian She Accidental Insurance B,Accidental Insurance,39000
5443,15660417,Lambert,Female,43,120481.69,94875.03,Gong Shang Stock Fund A,Stock Fund,59000
5443,15660417,Lambert,Female,43,120481.69,94875.03,Xing Ye Debenture A,Debenture,80000
4347,15585853,McCardle,Male,41,0,163736.09,Ping An Currency Fund A,Currency Fund,12000
4347,15585853,McCardle,Male,41,0,163736.09,Hua Xia Accidental Insurance A,Accidental Insurance,36000
257,15636684,Kirkland,Male,34,0,198637.34,Ping An Currency Fund A,Currency Fund,12000
257,15636684,Kirkland,Male,34,0,198637.34,Ping An Medical Insurance C,Medical Insurance,44000
257,15636684,Kirkland,Male,34,0,198637.34,Gong Shang Stock Fund A,Stock Fund,59000
257,15636684,Kirkland,Male,34,0,198637.34,Chong Qing Debenture B,Debenture,84000
309,15773972,Balashov,Male,50,137104.47,127166.49,Ping An Currency Fund A,Currency Fund,12000
309,15773972,Balashov,Male,50,137104.47,127166.49,Ping An Medical Insurance C,Medical Insurance,44000
309,15773972,Balashov,Male,50,137104.47,127166.49,Guang Da Stock Fund C,Stock Fund,70000
309,15773972,Balashov,Male,50,137104.47,127166.49,Xing Ye Debenture A,Debenture,80000
6720,15776629,Christie,Female,39,0,186275.7,Ping An Currency Fund A,Currency Fund,12000
6720,15776629,Christie,Female,39,0,186275.7,Gong Shang Medical Insurance A,Medical Insurance,35000
6720,15776629,Christie,Female,39,0,186275.7,Nong Ye Stock Fund B,Stock Fund,64000
6720,15776629,Christie,Female,39,0,186275.7,Zhong Xin Debenture C,Debenture,89000
1049,15645103,Su,Male,25,54817.55,131660.31,Zhao Shang Currency Fund C,Currency Fund,20000
1049,15645103,Su,Male,25,54817.55,131660.31,Gong Shang Medical Insurance A,Medical Insurance,35000
1049,15645103,Su,Male,25,54817.55,131660.31,Gong Shang Stock Fund A,Stock Fund,59000
1049,15645103,Su,Male,25,54817.55,131660.31,Chong Qing Debenture B,Debenture,84000
1750,15703820,Endrizzi,Male,42,133701.07,101069.71,Guang Da Currency Fund B,Currency Fund,16500
1750,15703820,Endrizzi,Male,42,133701.07,101069.71,Hua Xia Accidental Insurance A,Accidental Insurance,36000
1750,15703820,Endrizzi,Male,42,133701.07,101069.71,Guang Da Stock Fund C,Stock Fund,70000
1750,15703820,Endrizzi,Male,42,133701.07,101069.71,Xing Ye Debenture A,Debenture,80000
