RowNumber,CustomerId,Surname,Gender,Age,Balance,EstimatedSalary
54,15702298,Parkhill,Male,41,125561.97,164040.94
55,15569590,Yoo,Male,42,98495.72,40014.76
56,15760861,Phillipps,Male,43,125211.92,113410.49
57,15630053,Tsao,Male,45,127864.4,87107.57
58,15647091,Endrizzi,Male,19,75888.2,45613.75
59,15623944,T'ien,Female,66,0,1643.11
60,15804771,Velazquez,Male,51,40685.92,46775.28
61,15651280,Hunter,Male,35,136857,84509.57
62,15773469,Clark,Female,27,152328.88,126494.82
63,15702014,Jeffrey,Male,33,56084.69,178798.13
64,15751208,Pirozzi,Male,56,78707.16,99398.36
65,15592461,Jackson,Male,26,109166.37,92840.67
66,15789484,Hammond,Female,36,169831.46,27758.36
67,15696061,Brownless,Female,34,101633.04,110431.51
68,15641582,Chibugo,Male,43,123180.01,196673.28
69,15638424,Glauert,Female,35,150725.53,113656.85
70,15755648,Pisano,Female,21,98373.26,18203
71,15703793,Konovalova,Male,58,133745.44,28373.86
72,15620344,McKee,Male,29,0,33953.87
73,15812518,Palermo,Female,37,163607.18,44203.55
74,15779052,Ballard,Female,25,157780.84,58426.81
75,15770811,Wallace,Male,36,0,145562.4
76,15780961,Cavenagh,Female,21,178718.19,22388
77,15614049,Hu,Male,55,0,139161.64
78,15662085,Read,Female,32,0,148210.64
79,15575185,Bushell,Male,33,77253.22,194239.63
80,15803136,Postle,Female,41,122189.66,98301.61
81,15706021,Buley,Female,34,96645.54,171413.66
82,15663706,Leonard,Female,32,0,136458.19
83,15641732,Mills,Female,36,0,26019.59
84,15701164,Onyeorulu,Female,34,90307.62,159235.29
85,15738751,Beit,Female,46,0,1907.66
86,15805254,Ndukaku,Female,75,0,114675.75
87,15762418,Gant,Male,22,121681.82,128643.35
88,15625759,Rowley,Male,30,0,151869.35
89,15622897,Sharpe,Female,46,0,93251.42
90,15767954,Osborne,Female,28,81623.67,156791.36
91,15757535,Heap,Female,44,0,174205.22
92,15731511,Ritchie,Male,45,118626.55,147132.46
93,15809248,Cole,Female,36,0,109614.57
94,15640635,Capon,Male,29,0,172290.61
95,15676966,Capon,Male,42,0,85982.47
96,15699461,Fiorentini,Male,35,176273.95,121277.78
97,15738721,Graham,Male,41,102827.44,64595.25
98,15693683,Yuille,Male,29,97086.4,197276.13
99,15604348,Allard,Male,22,0,99645.04
100,15633059,Fanucci,Male,34,0,6534.18
101,15808582,Fu,Female,40,0,161848.03
102,15743192,Hung,Female,44,0,167162.43
103,15580146,Hung,Male,31,82674.15,41970.72
104,15776605,Bradley,Male,36,0,60536.56
105,15804919,Dunbabin,Female,65,0,177655.68
106,15613854,Mauldon,Female,46,107073.27,30984.59
107,15599195,Stiger,Male,32,88938.62,10054.53
108,15812878,Parsons,Female,36,99806.85,36976.52
109,15602312,Walkom,Male,33,150092.8,71862.79
110,15744689,T'ang,Male,35,92833.89,99449.86
111,15803526,Eremenko,Male,30,90536.81,63082.88
112,15665790,Rowntree,Male,39,108055.1,27231.26
113,15715951,Thorpe,Male,42,100238.35,86797.41
114,15591100,Chiemela,Male,36,106190.55,22994.32
115,15609618,Fanucci,Male,28,154475.54,101300.94
116,15675522,Ko,Female,30,132351.29,74169.13
117,15705512,Welch,Female,37,167864.4,115638.29
118,15698028,Duncan,Female,41,0,31766.3
119,15661670,Chidozie,Female,31,107818.63,199725.39
120,15600781,Wu,Male,34,185173.81,120834.48
121,15682472,Culbreth,Male,34,129433.34,38131.77
122,15580203,Kennedy,Male,39,120193.42,100130.95
123,15690673,Cameron,Female,39,0,141069.88
124,15760085,Calabresi,Female,48,126384.42,198129.36
125,15779659,Zetticci,Female,28,0,183646.41
126,15627360,Fuller,Male,42,152603.45,110265.24
127,15671137,MacDonald,Female,52,0,8636.05
128,15782688,Piccio,Male,56,148507.24,46824.08
129,15575492,Kennedy,Female,41,0,171378.77
130,15591607,Fernie,Male,24,101827.07,167256.35
131,15740404,He,Female,34,0,124226.16
132,15718369,Kaodilinakachukwu,Female,33,130862.43,114935.21
133,15677871,Cocci,Male,38,122570.87,35608.88
134,15642004,Alekseeva,Male,25,0,16459.37
135,15712543,Chinweike,Male,39,124828.46,124411.08
136,15584518,Arthur,Female,50,144895.05,34941.23
137,15802381,Li,Female,34,63663.93,167784.28
138,15610156,Ma,Male,40,133463.1,93165.34
139,15594408,Chia,Female,48,213146.2,75161.25
140,15640905,Vasin,Female,35,129490.36,8590.83
141,15698932,Groves,Male,44,137452.09,189543.9
142,15724944,Tien,Male,34,0,180427.24
143,15628145,Forwood,Female,43,125851.93,193318.33
144,15713483,Greeves,Male,52,0,159123.82
145,15612350,Taylor,Female,31,40915.55,126213.84
146,15800703,Madukwe,Female,21,113157.22,54141.5
147,15705707,Bennelong,Female,29,138296.94,141075.51
148,15754105,Olisanugo,Male,37,106967.18,24495.03
149,15703264,Chukwufumnanya,Male,44,120681.63,74836.34
150,15794413,Harris,Male,32,0,878.87
151,15650237,Morgan,Female,32,0,89520.75
152,15759618,Alexeeva,Female,48,0,149892.79
153,15811589,Metcalfe,Male,42,0,180800.42
154,15689044,Humphries,Male,37,127609.59,98646.22
155,15709368,Milne,Female,43,0,109041.53
156,15679145,Chou,Male,57,0,17941.16
157,15655007,Li,Female,33,0,82996.47
158,15623595,Clayton,Female,28,0,92067.35
159,15589975,Maclean,Female,73,97259.25,104719.66
160,15804017,Chigolum,Female,33,123246.7,112687.57
161,15692132,Wilkinson,Female,22,101060.25,84699.56
162,15641122,Wei,Male,30,0,83473.82
163,15630910,Treacy,Female,49,108007.36,47125.11
164,15680772,Hu,Female,36,0,106977.8
165,15658929,Taverner,Male,29,133702.89,55582.54
166,15585388,Sherman,Male,31,125189.75,139874.43
167,15724623,Taubman,Female,24,113034.22,162503.48
168,15588537,Robinson,Female,41,109013.23,196499.96
169,15574692,Pinto,Female,39,0,40721.24
170,15611325,Wood,Male,24,57929.81,53134.3
171,15587562,Hawkins,Female,29,130114.39,164017.89
172,15613172,Sun,Male,27,95826.49,155996.96
173,15651022,Yost,Male,44,129608.57,5472.7
174,15586310,Ting,Male,30,169462.09,112187.11
175,15625524,Rowe,Male,40,0,146457.83
176,15755209,Fu,Female,35,133868.21,27286.1
177,15645248,Ho,Female,30,0,130553.47
178,15790355,Okechukwu,Male,36,190479.48,179351.89
179,15762615,Campbell,Female,40,101993.12,94774.12
180,15625426,Ashbolt,Female,55,161608.81,8080.85
181,15716334,Rozier,Female,45,122311.21,19482.5
182,15789669,Hsia,Male,65,0,48071.61
183,15621075,Ogbonnaya,Female,45,162150.42,174531.27
184,15810845,T'ang,Male,42,0,55470.78
185,15719377,Cocci,Female,50,0,8546.87
186,15654506,Chang,Male,32,0,95857.18
187,15771977,T'ao,Female,39,99010.67,194945.8
188,15708710,Ford,Female,37,0,131521.72
189,15726676,Marshall,Male,30,0,196108.51
190,15587421,Tsai,Female,34,111388.18,148564.76
191,15726931,Onwumelu,Female,41,56214.85,92982.61
192,15771086,Graham,Female,36,84327.77,17675.36
193,15756850,Golovanov,Male,40,0,114996.43
194,15702741,Potts,Male,32,93012.89,86957.42
195,15679200,Crawford,Male,29,61710.44,128077.8
196,15594815,Aleshire,Male,35,174790.15,600.36
197,15635905,Moran,Female,32,0,43001.46
198,15777892,Samsonova,Male,37,107720.64,158591.12
199,15656176,Jenkins,Male,57,0,47847.19
200,15811127,Volkov,Male,35,96423.84,10488.44
201,15604482,Chiemezie,Male,30,141040.01,5978.2
202,15622911,Jude,Male,42,105420.18,121409.06
203,15600974,He,Male,50,0,146145.93
204,15727868,Onuora,Female,38,129022.06,14374.86
205,15627801,Ginikanwa,Male,33,176666.62,94670.77
206,15773039,Ku,Male,37,0,179670.31
207,15755262,McDonald,Female,41,89763.84,199304.74
208,15679531,Collins,Male,34,134954.53,151954.39
209,15684181,Hackett,Male,45,0,142513.5
210,15612087,Dike,Male,45,106376.85,158264.62
211,15752047,Trevisano,Male,33,161814.64,169381.9
212,15624592,Tan,Male,31,0,169915.02
213,15573152,Glassman,Female,41,0,88852.47
214,15594917,Miller,Female,34,63095.01,40645.81
215,15785542,Kornilova,Male,26,118287.01,60427.3
216,15723488,Watson,Male,47,106854.21,157959.02
217,15680920,Marchesi,Male,46,49512.55,133007.34
218,15786308,Millar,Female,33,0,176576.62
219,15659366,Shih,Male,43,105799.32,34888.04
220,15774854,Fuller,Male,54,0,28737.71
221,15725311,Hay,Female,31,114722.05,98178.57
222,15787155,Yang,Male,30,0,125010.24
223,15727829,McIntyre,Male,42,0,167984.61
224,15733247,Stevenson,Male,33,0,4861.72
225,15568748,Poole,Male,45,99564.22,108872.45
226,15699029,Bagley,Male,37,170557.91,198252.88
227,15774393,Ch'ien,Female,30,0,26960.31
228,15676895,Cattaneo,Female,39,74596.15,85746.52
229,15637753,O'Sullivan,Male,50,96888.39,77206.25
230,15605461,Lucas,Female,29,130830.22,61048.53
231,15808473,Ringrose,Male,72,0,111981.19
232,15627000,Freeman,Male,40,0,62232.6
233,15787174,Sergeyev,Female,37,0,156105.03
234,15723886,Fiore,Male,20,119714.25,150135.38
235,15704769,Smith,Female,67,113978.97,93146.11
236,15772896,Dumetochukwu,Male,42,100160.75,33462.94
237,15711540,Pacheco,Female,29,0,144375
238,15764866,Synnot,Female,43,116220.5,55803.96
239,15794056,Johnston,Female,46,0,89048.46
240,15795149,Stevens,Male,28,81173.83,162812.16
241,15812009,Grant,Male,38,0,136259.65
242,15651001,Tsao,Female,39,116803.8,124052.97
243,15813844,Barnes,Male,37,105961.68,74158.8
244,15596175,McIntosh,Male,67,117411.6,45071.09
245,15576269,Madison,Male,34,0,62030.06
246,15797219,Ifesinachi,Female,40,123497.58,131953.23
247,15685500,Glazkov,Male,26,152400.51,79414
248,15599792,Dimauro,Female,26,0,199638.56
249,15657566,Wieck,Male,24,103097.85,157577.29
250,15772423,Liao,Male,54,126418.14,134420.75
251,15628112,Hughes,Female,36,77846.9,99805.99
252,15753754,Morrison,Female,34,0,97932.68
253,15793726,Matveyeva,Female,79,0,170968.99
254,15694717,Ku,Male,37,79731.91,57558.95
255,15665834,Cheatham,Male,28,0,176713.47
256,15765297,Yao,Male,41,0,34283.23
257,15636684,Kirkland,Male,34,0,198637.34
258,15592979,Rose,Female,34,37266.67,156917.12
259,15750803,Jess,Female,30,127992.25,50457.2
260,15607178,Welch,Male,38,54901.01,140075.55
261,15713853,Ifeajuna,Male,42,108748.08,65323.11
262,15673481,Morton,Female,48,99906.19,64323.24
263,15686776,Rossi,Female,32,184686.41,14956.44
264,15673693,Reppert,Female,26,110654.02,111879.21
265,15700696,Kang,Male,31,79019.8,18606.23
266,15813163,Ch'iu,Female,36,99240.51,123137.01
267,15653857,Wallis,Male,34,0,148528.24
268,15777076,Clark,Male,36,0,13898.31
269,15717398,Fielding,Female,39,0,81259.25
270,15799217,Zetticci,Female,35,52436.2,161051.75
271,15787071,Dulhunty,Male,41,0,191599.67
272,15619955,Bevington,Male,34,100337.96,48559.19
273,15796505,Boyle,Female,34,149297.19,186339.74
274,15725166,Newton,Male,30,0,33159.37
275,15800116,Bowman,Male,28,145605.44,93883.53
276,15758685,Dubinina,Female,37,0,110899.3
277,15694456,Toscani,Male,62,0,11199.04
278,15767339,Chiazagomekpere,Female,53,0,189992.97
279,15683562,Allen,Male,35,84026.86,164255.69
280,15782210,K'ung,Male,46,0,152167.79
281,15668893,Wilsmore,Male,39,0,33949.67
282,15669169,Hargreaves,Male,29,0,68143.93
283,15643024,Huang,Male,35,138718.92,47251.79
284,15699389,Ch'ien,Male,42,118274.71,25885.72
285,15708608,Wallwork,Female,22,174185.98,192633.85
286,15626144,Chu,Male,40,113208.86,34577.36
287,15573112,Kang,Male,29,103907.28,161229.84
288,15790678,Davidson,Female,32,119023.28,100816.29
289,15727556,O'Donnell,Female,26,166297.89,181694.44
290,15697307,Nnachetam,Male,34,0,79078.91
291,15652266,Chidiebele,Male,42,63227,137316.32
292,15607098,Ahmed,Female,41,94521.17,194926.86
293,15655774,Booth,Male,27,0,51285.49
294,15590241,Chuang,Female,34,112822.26,150401.53
295,15785819,Shao,Male,38,0,112491.96
296,15723654,Tsao,Male,25,135903.33,73656.38
297,15774510,Tien,Female,31,125169.26,106636.89
298,15684173,Chang,Female,44,0,155853.52
299,15650068,Johnson,Male,58,149117.31,162599.51
300,15811490,French,Male,33,0,103737.82
301,15803976,Efremov,Female,31,0,160990.27
302,15682541,Hartley,Female,36,132311.71,15462.84
303,15695699,Calabrese,Male,35,0,10334.05
304,15624188,Chiu,Female,33,0,190686.16
305,15812191,Brennan,Male,33,118082.89,94440.45
306,15636673,Onwuatuegwu,Male,31,119266.69,28257.63
307,15594898,Hewitt,Male,43,0,170034.95
308,15660211,Shih,Male,35,156847.29,31824.29
309,15773972,Balashov,Male,50,137104.47,127166.49
310,15746726,Doyle,Male,31,78398.69,44937.01
311,15712287,Pokrovskii,Female,80,0,188603.07
312,15702919,Collins,Male,30,63669.42,145111.37
313,15674398,Russo,Male,38,0,171463.83
314,15797960,Skinner,Female,59,135296.33,182822.5
315,15631868,Robertson,Male,36,153804.44,87213.33
316,15581539,Atkinson,Male,37,0,57175.32
317,15662736,Doyle,Male,49,147069.78,120540.83
318,15666252,Ritchie,Male,42,0,28714.34
319,15677512,McEncroe,Female,22,0,85426.28
320,15626114,Pearson,Male,24,95741.75,46170.75
321,15810834,Gordon,Female,57,145965.33,64448.36
322,15678910,Ts'ai,Female,30,141441.75,16278.97
323,15694408,Lung,Male,40,139290.41,182855.42
324,15585215,Yuan,Female,31,0,50404.72
325,15682757,Pardey,Male,30,0,107640.25
326,15736601,Tai,Male,35,144428.87,134132.65
327,15601848,Scott,Male,35,0,103480.69
328,15736008,Hunter,Female,46,95441.27,108761.05
329,15669064,Mazzanti,Male,35,144848.74,179012.3
330,15624528,L?,Male,26,116244.14,95145.14
331,15598493,Beach,Male,50,0,72143.44
332,15601274,Hsieh,Female,40,146502.07,19162.89
333,15702669,Faulkner,Male,44,117028.6,144680.18
334,15728669,Knowles,Female,30,112013.81,177772.03
335,15742668,Day,Female,37,108269.37,5597.94
336,15697441,Hsueh,Male,29,182123.79,116828.51
337,15740476,Tsao,Female,32,150923.74,174652.51
338,15648064,Kennedy,Male,33,0,2010.98
339,15636624,Nwabugwu,Female,39,165272.13,14109.85
340,15807923,Young,Female,39,115301.31,43527.4
341,15745844,Kerr,Female,40,129502.49,86099.23
342,15786170,Tien,Male,31,118342.26,161574.19
343,15681081,Marrero,Female,47,0,38970.14
344,15684484,White,Male,22,0,127587.22
345,15785869,Pisano,Female,25,0,30380.12
346,15763859,Brown,Female,43,0,90908.95
347,15658935,Freeman,Female,34,106937.05,138275.01
348,15747358,Russell,Male,59,170331.37,32171.79
349,15735203,Seleznyov,Female,32,114510.85,126143.23
350,15576256,Yusupova,Male,39,0,129892.93
351,15659420,Foley,Male,32,107594.11,102416.84
352,15593365,Shih,Male,39,81273.13,18719.67
353,15777352,Ikedinachukwu,Female,32,169399.6,61936.22
354,15812007,Power,Male,25,0,78358.94
355,15625461,Amos,Female,45,187841.99,147224.27
356,15739438,Reed,Male,30,0,160979.66
357,15611759,Simmons,Female,57,126776.3,132298.49
358,15661629,Ricci,Male,34,126436.29,174248.52
359,15633950,Yen,Male,41,101960.74,123547.28
360,15592386,Campbell,Male,58,0,32790.02
361,15803716,West,Male,28,0,181543.67
362,15696674,Robinson,Female,45,150842.93,2319.96
363,15706365,Bianchi,Female,50,102535.57,189543.19
364,15745088,Chen,Female,29,99027.61,10940.4
365,15676715,Madukaego,Male,68,0,199493.38
366,15613085,Ibrahimova,Female,33,0,188193.25
367,15633537,Nolan,Female,42,87271.41,172572.64
368,15594720,Scott,Female,35,102742.91,189339.6
369,15684042,Blair,Male,34,40105.51,53512.16
370,15583303,Monaldo,Female,29,152265.43,34004.44
371,15611579,Sutherland,Male,42,141947.67,10598.29
372,15774696,Cole,Female,75,106307.91,113428.77
373,15694506,Briggs,Male,31,107884.81,183487.98
374,15688074,Gregory,Male,31,125013.72,187658.09
375,15759537,Bianchi,Male,35,58469.37,172459.39
376,15758449,Angelo,Female,39,0,21016
377,15583456,Gardiner,Male,45,117231.63,122381.02
378,15667871,Kerr,Male,35,152390.26,128123.66
379,15677371,Ko,Female,30,34013.63,19570.63
380,15629677,Distefano,Female,39,0,188150.6
381,15713578,Farrell,Female,50,0,111020.24
382,15591509,Milano,Male,36,101583.11,123775.15
383,15568240,Ting,Female,30,77168.87,146700.22
384,15622993,Boyd,Male,28,124695.72,145251.35
385,15689294,Onyemaechi,Male,44,105934.96,82463.69
386,15720910,Black,Female,66,0,15928.49
387,15721181,Oliver,Male,46,0,45886.33
388,15776433,Greco,Male,62,0,186489.95
389,15748936,Whitehead,Female,45,0,162922.65
390,15717225,Ikemefuna,Female,21,161525.96,9262.77
391,15685226,Morrison,Female,29,147199.07,84932.4
392,15785611,Onyeoruru,Male,38,183102.29,71557.12
393,15573456,Cunningham,Male,46,127209,77405.95
394,15684548,Demidov,Male,38,0,417.41
395,15620505,Celis,Female,24,97378.54,71405.17
396,15807432,Cheng,Female,37,136925.09,153400.24
397,15584766,Knight,Male,33,54503.55,371.05
398,15612187,Morin,Male,32,155726.85,67789.99
399,15762218,Mills,Female,39,0,145894.9
400,15646372,Outhwaite,Female,66,135842.41,183840.51
401,15690452,Tung,Male,52,63349.75,108887.44
402,15747795,Pai,Female,38,129499.42,154071.27
403,15781589,Carpenter,Male,52,0,179291.85
404,15732674,Fennell,Male,36,70438.01,56937.43
405,15642291,Fontaine,Male,23,0,112239.03
406,15692761,Pratt,Male,36,0,45909.87
407,15578045,Mitchell,Female,49,141434.04,173779.25
408,15745354,Franklin,Female,37,0,125696.26
409,15701376,K'ung,Male,37,152958.29,159585.61
410,15691625,Ko,Female,41,138306.34,106761.47
411,15566594,McKenzie,Male,23,0,129590.18
412,15760431,Pino,Male,38,0,80006.65
413,15686302,Fisk,Female,31,124328.84,140451.52
414,15801559,Chiang,Female,41,181461.48,187929.43
415,15810432,Moseley,Male,35,0,167155.36
416,15809616,Hsiung,Male,26,0,191420.71
417,15720559,Heath,Female,61,110368.03,11384.45
418,15695632,Dellucci,Female,39,89588.35,94898.1
419,15659843,Li,Female,46,0,106781.59
420,15615624,De Salis,Female,28,0,159508.52
421,15810418,T'ang,Female,60,115924.89,93524.19
422,15716186,Richardson,Female,38,0,87168.46
423,15674551,Fitch,Male,40,111756.5,8128.32
424,15622834,Stevenson,Female,35,0,125518.32
425,15566111,Estes,Male,39,0,48963.59
426,15784597,Lattimore,Male,26,162923.85,98368.24
427,15652883,Chung,Male,39,124576.65,148584.61
428,15806964,Utz,Male,45,80793.58,27474.81
429,15576313,Wei,Female,40,71340.09,76192.21
430,15806467,Boyle,Male,40,99282.63,134600.94
431,15597602,Nwachinemelu,Male,57,137946.39,72467.99
432,15743040,Kuznetsova,Male,41,127892.57,199645.45
433,15705521,Pisani,Female,33,101084.36,42749.85
434,15595039,Manna,Female,37,114754.08,136050.44
435,15799384,Collier,Male,33,0,73564.44
436,15581197,Ricci,Female,51,99286.98,85578.63
437,15693737,Carr,Female,30,79871.02,129826.89
438,15624623,Hs?,Male,35,104088.59,119666
439,15783501,Findlay,Female,38,168190.33,68052.08
440,15690134,Hughes,Female,42,85679.25,164104.74
441,15782735,Chukwuemeka,Female,35,0,80190.36
442,15611088,Genovese,Female,31,0,84126.75
443,15672145,Swift,Female,34,121551.58,70179
444,15732628,Ugoji,Male,46,122220.19,118024.1
445,15787470,Parkinson,Male,47,116528.15,145704.19
446,15803406,Ross,Female,26,77780.29,183049.41
447,15730460,Oleary,Male,37,0,120906.83
448,15644572,Turnbull,Male,40,125832.2,100433.83
449,15694860,Uspensky,Female,38,68065.8,138777
450,15658169,Cook,Female,47,127299.34,124694.99
451,15794396,Newbold,Female,38,174937.64,40084.32
452,15785798,Uchechukwu,Male,40,0,119232.33
453,15710825,Ch'en,Male,31,110071.1,43921.36
454,15668444,He,Female,44,139432.37,62222.81
455,15726631,Hilton,Female,39,127357.76,56577
456,15733797,Sal,Male,36,0,164253.35
457,15747960,Eluemuno,Male,33,0,7666.73
458,15634632,Titus,Male,38,0,68487.51
459,15707362,Yin,Male,43,95556.31,199273.98
460,15662976,Lettiere,Male,37,0,186062.36
461,15732778,Templeman,Male,29,111681.98,195711.16
462,15718443,Chibuzo,Male,39,0,36692.17
463,15670039,Sun,Female,25,108738.71,106920.57
464,15773792,Evans,Female,32,133950.37,48725.68
465,15613786,Ogbonnaya,Male,26,0,167036.94
466,15726032,Enyinnaya,Male,33,89968.69,68777.26
467,15663252,Olisanugo,Female,32,0,18924.92
468,15593782,Brookes,Female,38,130878.75,71905.77
469,15633283,Padovano,Male,35,0,64833.28
470,15749167,Fisk,Male,35,0,184843.77
471,15759298,Shih,Male,27,134169.62,176730.02
472,15683625,Hare,Male,37,149762.08,20629.4
473,15635367,Muir,Male,26,93844.69,28415.36
474,15681705,Fanucci,Male,28,0,77231.27
475,15603156,Elewechi,Female,33,0,102750.7
476,15591986,Johnston,Male,46,141078.37,34580.8
477,15798888,Pisano,Female,31,117992.59,183598.77
478,15809722,Ankudinov,Female,40,100812.33,147358.27
479,15677538,Nwokike,Male,38,0,108469.2
480,15797736,Smith,Male,29,80262.6,20612.82
481,15695585,Atkins,Male,34,156478.62,181196.76
482,15744398,Burns,Female,23,0,160249.1
483,15750658,Obiuto,Male,37,0,110783.28
484,15578186,Pirozzi,Male,37,115217.99,144995.33
485,15676519,George,Male,61,0,150227.85
486,15637954,Lewis,Female,35,155470.55,53718.28
487,15758639,Moran,Male,37,0,75248.3
488,15613772,Dalrymple,Male,39,135096.77,14353.43
489,15731744,Carslaw,Male,30,0,130486.57
490,15807709,Kirby,Female,55,180075.22,100127.71
491,15714689,Houghton,Male,29,97541.24,196356.17
492,15699005,Martin,Female,41,156067.05,9983.88
493,15624170,Tan,Female,38,81550.94,118974.77
494,15725679,Hsia,Female,47,0,194998.34
495,15585865,Westerberg,Female,38,170061.92,134901.34
496,15804256,Hale,Male,36,92310.54,72924.56
497,15662403,Kryukova,Female,32,169089.38,101057.95
498,15733616,Sopuluchukwu,Male,40,80613.93,142838.64
499,15591995,Barry,Male,26,121581.56,127059.04
500,15677020,Selezneva,Female,58,0,116503.92
501,15727688,Chizuoke,Male,32,0,54405.79
502,15715941,Lueck,Male,54,0,88721.84
503,15714485,Udinese,Male,60,85891.55,74135.48
504,15730059,Udobata,Male,44,77637.35,111346.22
505,15715527,Freeman,Female,41,0,194902.16
506,15576623,Outlaw,Male,31,0,31474.27
507,15805565,Obiuto,Male,30,116927.89,21198.39
508,15677307,Lo,Female,40,137326.65,186976.6
509,15773890,Okechukwu,Male,22,0,117202.19
510,15598883,King,Female,37,0,143739.29
511,15568506,Forbes,Female,31,67238.98,161811.23
512,15761043,Macleod,Female,38,86569.76,98090.91
513,15782236,Gibbs,Male,34,0,71095.41
514,15593601,Isayev,Male,34,133598.4,13107.24
515,15682048,Pisano,Female,51,136188.78,67110.59
516,15746902,Belstead,Male,38,0,88225.02
517,15752081,Vassiliev,Female,56,0,62256.87
518,15781307,Schneider,Male,37,120092.52,135925.72
519,15775912,Mazzanti,Male,48,101238.24,177815.87
520,15745417,Knipe,Male,58,89685.92,126471.13
521,15671256,Macartney,Female,35,211774.31,188574.12
522,15653547,Madukwe,Male,56,131317.48,119175.45
523,15595766,Watts,Male,37,93722.73,139093.73
524,15742358,Humphreys,Male,32,101160.99,115916.55
525,15763274,Wu,Male,48,120320.54,96463.25
526,15786063,Chin,Female,31,0,112349.51
527,15600258,Chesnokova,Male,43,0,165303.79
528,15573318,Kung,Male,26,0,166031.08
529,15653849,Lu,Female,48,152827.99,38411.79
530,15694272,Nkemakolam,Male,30,64097.75,77783.35
531,15736112,Walton,Female,57,119035.35,29871.79
532,15749851,Brookes,Female,26,135219.57,59747.63
533,15663478,Baldwin,Male,32,93694.42,79919.13
534,15592300,Mai,Male,35,59408.63,76773.53
535,15567832,Shih,Female,40,114354.95,54018.93
536,15776780,He,Male,59,0,70649.64
537,15592846,Fiorentini,Male,35,128173.9,59093.39
538,15739803,Lucciano,Male,34,0,127569.8
539,15794142,Ferreira,Female,62,114931.35,18260.98
540,15762729,Ukaegbunam,Female,28,111071.36,73275.96
541,15667896,De Luca,Male,37,151226.18,136129.49
542,15626578,Milne,Male,26,0,153237.59
543,15776223,Davide,Female,42,64740.12,106841.12
544,15705953,Kodilinyechukwu,Male,51,169312.13,109078.35
545,15802593,Little,Female,49,0,87822.14
546,15615457,Burns,Female,44,112652.08,126644.98
547,15708916,Paterson,Male,38,0,47414.15
548,15720187,Han,Female,30,143964.36,41879.99
549,15595440,Kryukova,Male,49,122451.46,75808.1
550,15600651,Ijendu,Male,24,0,47911.03
551,15750141,Reichard,Female,36,65253.07,28737.78
552,15657284,Day,Male,47,106901.94,2079.2
553,15763063,Price,Female,25,128509.63,121562.33
554,15709324,Bruce,Male,34,0,55003.79
555,15711309,Sumrall,Male,33,129834.67,193131.42
556,15775318,Lu,Female,51,154962.99,191932.27
